t,V,I,R
423,0.6533203125,0.3466796875,0
424,0.642578125,0.357421875,0
425,0.6484375,0.3515625,0
426,0.6513671875,0.3486328125,0
427,0.65234375,0.34765625,0
428,0.654296875,0.345703125,0
429,0.6591796875,0.3408203125,0
430,0.6552734375,0.3447265625,0
431,0.6298828125,0.3701171875,0
432,0.638671875,0.361328125,0
433,0.62109375,0.37890625,0
434,0.63671875,0.36328125,0
435,0.646484375,0.353515625,0
436,0.6455078125,0.3544921875,0
437,0.654296875,0.345703125,0
438,0.6728515625,0.3271484375,0
439,0.6669921875,0.3330078125,0
440,0.6611328125,0.3388671875,0
441,0.6513671875,0.3486328125,0
442,0.6513671875,0.3486328125,0
443,0.6611328125,0.3388671875,0
444,0.66015625,0.33984375,0
445,0.66015625,0.33984375,0
446,0.669921875,0.330078125,0
447,0.67578125,0.32421875,0
448,0.6796875,0.3203125,0
449,0.6787109375,0.3212890625,0
450,0.66796875,0.33203125,0
451,0.6728515625,0.3271484375,0
452,0.666015625,0.333984375,0
453,0.6533203125,0.3466796875,0
454,0.6416015625,0.3583984375,0
455,0.630859375,0.369140625,0
456,0.642578125,0.357421875,0
457,0.640625,0.359375,0
458,0.6474609375,0.3525390625,0
459,0.65234375,0.34765625,0
460,0.634765625,0.365234375,0
461,0.6513671875,0.3486328125,0
462,0.6484375,0.3515625,0
463,0.6318359375,0.3681640625,0
464,0.6513671875,0.3486328125,0
465,0.6494140625,0.3505859375,0
466,0.642578125,0.357421875,0
467,0.6591796875,0.3408203125,0
468,0.6767578125,0.3232421875,0
469,0.6796875,0.3203125,0
470,0.66796875,0.33203125,0
471,0.671875,0.328125,0
472,0.681640625,0.318359375,0
473,0.6748046875,0.3251953125,0
474,0.68359375,0.31640625,0
475,0.6796875,0.3203125,0
476,0.6806640625,0.3193359375,0
477,0.6796875,0.3203125,0
478,0.69140625,0.30859375,0
479,0.69140625,0.30859375,0
480,0.6787109375,0.3212890625,0
481,0.6728515625,0.3271484375,0
482,0.685546875,0.314453125,0
483,0.685546875,0.314453125,0
484,0.6884765625,0.3115234375,0
485,0.7080078125,0.2919921875,0
486,0.7177734375,0.2822265625,0
487,0.7158203125,0.2841796875,0
488,0.7294921875,0.2705078125,0
489,0.734375,0.265625,0
490,0.734375,0.265625,0
491,0.724609375,0.275390625,0
492,0.7236328125,0.2763671875,0
493,0.7138671875,0.2861328125,0
494,0.69140625,0.30859375,0
495,0.6923828125,0.3076171875,0
496,0.6640625,0.3359375,0
497,0.669921875,0.330078125,0
498,0.65625,0.34375,0
499,0.6611328125,0.3388671875,0
